,ANN_IMPST,FLG_PRES_ADESIONE,FLG_PRES_RICORSO,PESO,PESO_ADESIONE,SOLVIBILITA,STATO_CONTROLLO,FL_CONDONO,RIMB_NON_CONC,RIMB_NON_CONC_DEF,DEBITO_IMPOSTA_AUT,FLG_PRES_RISCOSS,INDAGINE_BANCARIA,MAG_IMP_IRPEF_DEF,MAG_IMP_RIT_DEF,DEBITI_IVA_DIC,IMP_BEN_NO_AMM,IMP_IMPOR_IMPOST,IMP_VE_OPESEN,IMP_OPER_NOIMP,IMP_CREDAP_COMP,IMP_CRED_AP,IMP_VERS_PERIOD,IMP_V_AGG_IMPON,IMP_V_AGG_IVA,VAL_ALIQ_M_VOL_IMP,VAL_ALIQ_M_ACQ_IMP,VAL_ALIQ_MEDIA_VOL,VAL_ALIQ_MEDIA_ACQ,COD_NATURA_GIUR,COD_DIR_REG,FLG_VC,FLG_RF,FLG_FC,COD_ATTIV_GEN,IMP_UTIL_CONTEC,IMP_ESISTZ,IMP_ECC_PREC,IMP_ECC_PREC_F24,IMP_IMPST_DEBITO,IMP_IMPST_CREDIT,imp_sps_prest_lavoro,imp_tot_neg,VAR_RIMBORSO,VAR_DETRAZIONE,VAR_VOL_AFF_POS,VAR_VOL_AFF_NEG,Target,Cluster
3028,0.6000000000000227,1.0,0.0,0.10231660231660232,0.4444444444444444,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012128044120202148,2.269705182101393e-05,0.0012033673701319588,0.04550046296614942,0.06544416311551148,0.015163848089778956,0.0,0.653424952849342,0.4940498649317171,0.580754716981132,0.2450980392156863,0.39129163163089975,0.07118240491258851,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.45,1.4799762505902848e-06,0.0,0.0,0.0,0.0,0.0007012011453108641,0.003743247074078352,0.0,0.0,0.004098795549349937,0.0013218224550771266,0.03338660067425249,0,0
843,0.6000000000000227,1.0,0.0,0.03861003861003861,0.537037037037037,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0006482299824169868,0.0008043294090493882,9.89901386388269e-06,0.0007349336788328979,0.0005689922886462064,0.0,0.65410358435332,0.493994447889589,0.3920754716981132,0.12475490196078433,0.3967572112748145,0.07149570775111223,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.45,6.293293505950431e-06,0.0,0.0,0.0,0.0,8.839550592333008e-05,0.0036354330375410375,0.0,0.0,0.00013067273948695856,0.0011156850950386973,0.03312156029362849,0,0
5715,0.6000000000000227,1.0,0.0,0.10231660231660232,0.4444444444444444,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010178010285252741,0.0,0.0008043294090493882,9.89901386388269e-06,0.006830219836629991,0.0015700264801216265,0.0,0.6545047451104776,0.4944633133385658,0.3273584905660377,0.1295343137254902,0.39469162431908755,0.07475405727175889,0.020202020202020204,0.3500000000000014,0.0,1.0,0.0,0.35000000000000003,0.0002545966483928296,0.0,1.693646557134108e-05,7.383674169007028e-05,0.00020156055576058207,0.0,0.0036354330375410375,0.0,0.0,0.0002484009985157337,0.0012642706800021666,0.03312156029362849,0,0
2506,0.6000000000000227,1.0,0.0,0.03861003861003861,0.537037037037037,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01138112434970341,0.0,0.0008043294090493882,9.89901386388269e-06,0.030658266322902313,0.007047709508952259,0.0,0.6545895972408075,0.49453222994622614,0.41301886792452824,0.21850490196078431,0.39745792661377793,0.11886709693589827,0.020202020202020204,0.29999999999999716,0.0,1.0,0.0,0.35000000000000003,0.00017723055044912832,0.0,0.0008276689425042278,0.0,0.00046738634229868785,0.0,0.003981505096719016,0.0,0.0,0.0012517517258880911,0.0014762229273214166,0.03312156029362849,0,0
7864,0.6000000000000227,1.0,0.0,0.15830115830115832,0.4444444444444444,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0004880277749259282,0.00011218629906124998,1.2635816266880096e-05,0.6541265898218858,0.49401943627362377,0.3920754716981132,0.18627450980392157,0.3967815839822567,0.09630929256219062,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.55,2.556692917304134e-05,0.0,0.0,0.0,6.5266929455010656e-06,0.0,0.003650083568099526,0.0,0.0,4.7301075824468754e-05,0.001095022569121287,0.03312156029362849,0,0
1015,0.4000000000000341,1.0,0.0,0.10231660231660232,0.4444444444444444,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012884730990518614,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0010409226533638646,0.0,0.6542331503067563,0.49414837135107476,0.40603773584905656,0.14987745098039218,0.3972324790699375,0.08540635378156528,0.24242424242424243,0.29999999999999716,0.0,1.0,0.0,0.5,0.0013676474109468588,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0,0.0,0.0006529543857997515,0.001307607553661596,0.033122056335964635,0,0
7083,0.6000000000000227,1.0,0.0,0.13706563706563707,0.4444444444444444,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00033064149639741624,0.0,0.009779319979595942,0.0,0.0008043294090493882,9.89901386388269e-06,0.004887146288313795,0.0023096250443032005,0.0,0.6541058734365378,0.4939988831783078,0.39415094339622636,0.17218137254901963,0.39691563387318884,0.09674791653612383,0.020202020202020204,0.3500000000000014,0.0,1.0,0.0,0.55,0.0,0.0,3.1856685241332035e-05,0.0,0.0,2.349022029851372e-05,0.0036544274472689233,0.0,0.00032084188911704316,0.0003768481059871548,0.0011019303346042157,0.033140409902401885,0,0
5018,0.4000000000000341,1.0,0.0,0.15830115830115832,0.4444444444444444,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01107656841902333,0.0006326584954224739,0.000809007828164785,9.89901386388269e-06,0.0018075102775034378,0.0005972466158171879,0.0004268339587844901,0.6540363713171341,0.4942049443786574,0.580754716981132,0.2450980392156863,0.400595912696962,0.13371765148192244,0.020202020202020204,0.3500000000000014,0.0,1.0,0.0,0.45,3.072647940445701e-05,0.0,0.0,0.0,1.8061879278437002e-05,0.0,0.0037548899110241146,0.0,0.0,0.0006852388410136398,0.0013133984003977856,0.033123048420636916,0,0
5041,0.6000000000000227,0.0,0.0,0.0694980694980695,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01609372743756675,0.0,0.0009393018005285836,9.89901386388269e-06,0.0,0.0026373752394865855,0.0,0.6552533998987027,0.49526769444363,0.42792452830188676,0.24301470588235294,0.3979514739394826,0.12964471458111412,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.35000000000000003,0.0016098204054929902,0.0,0.0,0.0,0.0013094236415193397,0.0,0.004618861680758465,0.0,0.0,0.0035297500487336667,0.0016392039408417481,0.03321318923396063,0,1
338,0.6000000000000227,0.0,0.0,0.015444015444015444,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0017903271310930145,0.0,0.6540588559521756,0.4939455836313627,0.42886792452830186,0.14362745098039217,0.39796975347006425,0.08233598596403285,0.04040404040404041,0.3500000000000014,0.0,1.0,0.0,0.45,1.5356450820345064e-05,0.0,0.0004200848335462993,0.0,0.0,7.993902661586515e-05,0.0036354330375410375,0.0,0.0,0.0005690455006162699,0.0014435604024550489,0.03312156029362849,0,1
6051,0.4000000000000341,0.0,0.0,0.015444015444015444,0.0,0.4,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010301355662920078,0.0,0.0008043294090493882,9.89901386388269e-06,0.013340510354141874,0.0030666748105609687,0.0,0.6540314055074263,0.494204567072458,0.5528301886792453,0.2442401960784314,0.39068840712170516,0.12500783257096312,0.020202020202020204,0.44999999999999574,0.0,1.0,0.0,0.45,0.0004518679781618778,0.0,0.0,0.0,0.0,0.0013197528539714192,0.0036483472729095163,0.0,0.0,0.0011004343308087332,0.0011205492159554649,0.03312169422505925,0,1
2313,0.4000000000000341,0.0,0.0,0.03474903474903475,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.011518766714777284,9.351621832023528e-06,0.0008823030609726669,9.89901386388269e-06,0.0,0.0,0.0,0.6539638220565586,0.49471689338223723,0.5783018867924529,0.24497549019607845,0.39747011296749907,0.13196315558618962,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.2,0.001935082525410564,0.0,0.0,0.0,0.0035654368817220343,0.0,0.0042676156817978645,0.0,0.0,0.0,0.0013762388970190154,0.03324338333096159,0,1
8265,0.4000000000000341,0.0,0.0,0.03474903474903475,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0020461016341338915,0.0029149324534603446,9.947714906146224e-05,0.654137290101464,0.49403413413569686,0.39358490566037735,0.2192401960784314,0.39687907481202556,0.11567140798295633,0.24242424242424243,0.3999999999999986,0.0,1.0,0.0,0.55,0.00012382241667209268,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0,0.000615041067761807,0.0001458172699834894,0.001095479835150607,0.033130647789226614,0,1
3373,0.6000000000000227,0.0,0.0,0.10231660231660232,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009796897749375767,0.0,0.0008043294090493882,9.89901386388269e-06,0.003634541666003913,0.004154050901832418,0.0,0.6541338288114976,0.49403293273375526,0.4277358490566038,0.2126225490196079,0.39793319440890096,0.1174885644463939,0.020202020202020204,0.29999999999999716,0.0,1.0,0.0,0.55,0.0,0.0,2.117058196417635e-06,0.0,5.396651624961073e-05,0.0,0.00371172008409838,0.0,0.0,0.0022479394996472246,0.0011477465567211586,0.03312156029362849,0,1
2785,0.6000000000000227,0.0,0.0,0.15830115830115832,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010951793342615338,0.0,0.0008978977913573226,9.89901386388269e-06,0.030077332519712705,0.00691408316162597,0.0,0.6541965378967116,0.4940670273175146,0.29735849056603775,0.15968137254901962,0.39375936825942315,0.08998057522401154,0.020202020202020204,0.5,0.0,1.0,0.0,0.35000000000000003,0.00022925375232194187,0.0,0.0,0.0,0.0002405015918478882,0.0,0.0038944292254362344,0.0,0.0017967145790554417,0.001634816252332437,0.001361435671429826,0.033468814731044655,0,1
6624,0.6000000000000227,0.0,0.0,0.23938223938223938,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0036533661305974603,0.0,0.011358851148270068,0.0001381573909162776,0.0008043294090493882,1.1285685540111655e-05,0.05445703114267908,0.012518412056952413,0.0,0.6536866703699697,0.4947292447258169,0.580754716981132,0.24448529411764708,0.39971849522904257,0.13315370637257973,0.030303030303030304,0.3999999999999986,0.0,1.0,0.0,0.45,0.0,0.0,0.006913707195729591,0.03014121276848226,0.0,0.001774125992145593,0.004190005799759938,0.0,0.0,0.003769913650594193,0.001787836764236214,0.03312156029362849,0,1
166,0.4000000000000341,0.0,0.0,0.03474903474903475,0.0,0.6000000000000001,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.00021174125185782587,0.0,0.6541024310317565,0.4940297535796675,0.580754716981132,0.2450980392156863,0.3946063198430398,0.07757378281847235,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.45,0.0,0.0,1.9154336062826223e-06,8.350583881615091e-06,0.0,0.00040605556196015403,0.0036354330375410375,0.0,8.146817248459959e-05,0.0,0.001093779697747935,0.03312156029362849,0,2
7288,0.6000000000000227,0.0,0.0,0.07722007722007722,0.0,0.6000000000000001,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013486212775441809,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,0.00038111883693770534,0.6545105365672225,0.4944163162025815,0.46849056603773587,0.21997549019607845,0.3993407182636884,0.11930572090983146,0.020202020202020204,0.5,0.0,1.0,0.0,0.35000000000000003,0.00031486155287214134,0.0,0.0016373932964864396,0.007138430705536438,0.0,0.0015790487472665514,0.003920547864003454,0.0,0.0,0.0007754408925858826,0.0014209921800863387,0.03342910654203649,0,2
6644,0.4000000000000341,0.0,0.0,0.03474903474903475,0.0,0.6000000000000001,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,0.0,0.6540513618469063,0.49400596892662496,0.580754716981132,0.2450980392156863,0.3927235281931294,0.13309104580487502,0.020202020202020204,0.29999999999999716,0.0,1.0,0.0,0.45,7.360505738027462e-05,0.0,0.0,0.0,0.00012442975759408508,0.0,0.0036354330375410375,0.0,0.0007186858316221767,3.23867831226487e-05,0.0010936220710841692,0.03312156029362849,0,2
11511,0.4000000000000341,0.0,0.0,0.04247104247104247,0.0,0.6000000000000001,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.001192404274671546,9.89901386388269e-06,0.009654996898312364,0.0022278536974318893,0.0005846837943525035,0.6540726298784486,0.4939793618524137,0.580754716981132,0.2450980392156863,0.4028321086047844,0.1345322388620841,0.020202020202020204,0.6000000000000014,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0003678568498747248,0.0036671159092917993,0.0,0.0,0.0011450492990282431,0.001505212899626445,0.03312156029362849,1,2
11270,0.4000000000000341,0.0,0.0,0.19305019305019305,0.0,0.6000000000000001,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.00011965718037072759,2.750641851057314e-05,0.0,0.6536537644259779,0.4934634115398795,0.5160377358490565,0.2450980392156863,0.4007848011796391,0.13246444012782757,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0036455834145100417,0.0,0.006990528747433266,0.0,0.0010846082051871719,0.03312156029362849,1,2
4224,0.20000000000004547,0.0,0.0,0.03474903474903475,0.0,0.6000000000000001,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,3.0810427609058186e-05,0.0,0.000933140705302797,0.0,0.6540680112910904,0.49402238058177467,0.580754716981132,0.2450980392156863,0.39237621711207793,0.04091735071119745,0.020202020202020204,0.6000000000000014,0.0,1.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0036449316166775186,0.0,0.0,0.00043103073367575665,0.0011361151959792533,0.03312156029362849,0,2
11472,0.4000000000000341,0.0,0.0,0.015444015444015444,0.0,0.4,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,4.408399238032006e-05,0.6538664801925383,0.4937321645719492,0.580754716981132,0.2450980392156863,0.39251026700301006,0.05733441944984022,0.020202020202020204,0.6000000000000014,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0,0.0,0.0020750564977966243,0.0011798663105283334,0.03312156029362849,1,2
11861,0.4000000000000341,0.0,0.0,0.03861003861003861,0.0,0.6000000000000001,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,0.0,0.6539448997637892,0.49383238206715774,0.580754716981132,0.2450980392156863,0.4017901753616301,0.13415627545585562,0.020202020202020204,0.6499999999999986,0.0,1.0,0.0,0.45,4.556018631977707e-05,0.0,0.0,0.0,6.896069332824387e-05,0.0,0.0036354330375410375,0.0,0.0,0.0024487324386122085,0.0011172652279907477,0.03312156029362849,1,2
8599,0.6000000000000227,1.0,0.0,0.07722007722007722,0.0,0.6000000000000001,0.029411764705882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010859449853429542,0.0,0.0008043294090493882,9.89901386388269e-06,0.002231190686550244,0.003431321832991165,8.612363582933766e-06,0.6541473121709762,0.4940348386735075,0.4066037735849056,0.18284313725490198,0.39725075860051917,0.10188608308791279,0.020202020202020204,0.5,0.0,1.0,0.0,0.35000000000000003,0.00011249856169051197,0.0,1.7037277866408586e-05,7.427624610489213e-05,0.0,0.0006554855627299104,0.0036899637792175036,0.0,0.0,0.006458425961409076,0.0014055833806131167,0.03313993370175919,0,3
2897,0.6000000000000227,1.0,0.0,0.10231660231660232,0.0,0.6000000000000001,0.029411764705882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.002128215643673046,0.0,0.6541265185882931,0.4940223930033779,0.3920754716981132,0.18872549019607845,0.3967815839822567,0.10351525784823612,0.25252525252525254,0.5,0.0,1.0,0.0,0.55,0.00010372053741522188,0.0,0.0,0.0,0.0,0.0,0.0036465783878278806,0.0,0.0,0.0009073671489551554,0.0011033191345618842,0.03312156029362849,0,3
4688,0.6000000000000227,1.0,0.0,0.07722007722007722,0.0,0.6000000000000001,0.029411764705882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011171831503532147,0.0,0.0008043294090493882,9.89901386388269e-06,0.03162528432136665,0.01334044677570344,0.00030897941773419193,0.6542410244349598,0.49415262419749545,0.540377358490566,0.24558823529411766,0.40157082099465025,0.13403095432044615,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.35000000000000003,0.00030963411382189124,0.0,0.0012728560375223363,0.005549182741540639,0.0005130262382916881,0.0,0.0037350999938211135,0.0,0.0,0.003034687626151125,0.0013888316812736246,0.03312156029362849,0,3
11331,0.6000000000000227,1.0,0.0,0.03861003861003861,0.0,0.6000000000000001,0.029411764705882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,0.0,0.6539966667065288,0.49387272238831287,0.580754716981132,0.2450980392156863,0.40287476084280827,0.1342189360235604,0.020202020202020204,0.44999999999999574,0.0,1.0,0.0,0.4,1.0563500210635244e-05,0.0,0.0,0.0,1.5291556373512088e-05,0.0,0.0036354330375410375,0.0,0.0,0.0016492700694448353,0.0011635559162792518,0.03312156029362849,1,3
7855,0.6000000000000227,1.0,0.0,0.10231660231660232,0.0,0.4,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009917639570389073,0.0,0.0008043294090493882,9.89901386388269e-06,0.0015201161433803913,0.0003494395463352268,1.848613395326692e-05,0.6541088268144225,0.4940028301427479,0.5630188679245283,0.2450980392156863,0.4023020022179164,0.13340434864339873,0.020202020202020204,0.5,0.0,1.0,0.0,0.5,4.369324380183061e-05,0.0,0.0,0.0,8.384530961402688e-05,0.0,0.003636205771356944,0.0,0.0,3.415193954876462e-05,0.0011134979507267492,0.03312156029362849,0,3
10829,0.6000000000000227,1.0,0.0,0.05791505791505792,0.0,0.6000000000000001,0.029411764705882346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019443180498788782,7.60569476886861e-06,0.0021845722112041124,9.89901386388269e-06,0.04650145540727545,0.010689609180329504,0.0,0.6532229946805529,0.4929616967728716,0.5233962264150943,0.24497549019607845,0.40047404915975093,0.13108590763832323,0.030303030303030304,0.29999999999999716,0.0,1.0,0.0,0.5,1.6788904897751256e-05,0.0,0.0,0.0,0.0002364947971379403,0.0,0.0037100042066717993,0.0,0.0,0.0039578900189869435,0.0011902927690869637,0.03312156029362849,1,3
11428,0.6000000000000227,1.0,0.0,0.05791505791505792,0.0,0.6000000000000001,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012649748715396869,0.0,0.0009072234401273466,9.89901386388269e-06,0.08393716226670465,0.02113506773351682,0.0,0.6546370517349778,0.4903827071979265,0.4354716981132075,0.24350490196078436,0.39068840712170516,0.12870480606554296,0.030303030303030304,0.6000000000000014,0.0,1.0,0.0,0.6,0.00421575987197961,0.0,0.0003227001565110881,0.002813707263689464,0.0,0.0027193001793568666,0.004858442146230417,0.0,0.0,0.012834631448129217,0.0016729725290336713,0.08575366609017288,1,3
9440,0.6000000000000227,1.0,0.0,0.10231660231660232,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.00170882021635175,0.0009618105372851165,0.0,0.6541031572830829,0.49399748730063997,0.580754716981132,0.2450980392156863,0.40287476084280827,0.1342189360235604,0.020202020202020204,0.5,0.0,1.0,0.0,0.45,4.5750275012513434e-05,0.0,0.0,0.0,2.54337554830677e-05,0.0,0.0036354330375410375,0.0,0.0,0.00017996920953225403,0.0011345584591861012,0.03312156029362849,1,3
7008,0.4000000000000341,0.0,1.0,0.05791505791505792,0.0,0.6000000000000001,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875796351604457,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0007687670019374989,0.00037809581032652404,0.6543491444385316,0.4942828996435746,0.4113207547169811,0.15000000000000002,0.3974091811988935,0.08559433548467951,0.020202020202020204,0.5,0.0,1.0,0.0,0.5,0.0020429442807746853,0.0,0.0,0.0,0.0,0.004093875593624971,0.004390230240925007,0.0,0.0,0.002978842169945168,0.0018981907949934627,0.03315674457653104,0,4
10815,0.4000000000000341,0.0,1.0,0.03861003861003861,0.0,0.6000000000000001,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,5.728526686224126e-05,0.6540973804043756,0.4939905067477755,0.580754716981132,0.2450980392156863,0.40287476084280827,0.13415627545585562,0.020202020202020204,0.5,0.0,1.0,0.0,0.45,3.895460424718832e-05,0.0,0.0,0.0,6.414001844283781e-05,0.0,0.0036354962540778063,0.0,0.0,0.00016068039873092928,0.0011563049410416332,0.03312156029362849,1,4
2993,0.4000000000000341,0.0,1.0,0.015444015444015444,0.0,0.6000000000000001,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008074483551263194,9.89901386388269e-06,0.027332085910240486,0.006305701016864925,0.0,0.6540075902951372,0.49395747537562135,0.580754716981132,0.2450980392156863,0.39871312104705153,0.1312112287737327,0.020202020202020204,0.3999999999999986,0.0,1.0,0.0,0.45,0.000338880616975758,0.0,0.0,0.0,0.00014789141880585028,0.0,0.003641740163193937,0.0,0.0,0.0014800197083552273,0.0011157512684965988,0.03312255237830077,0,4
1098,0.4000000000000341,0.0,1.0,0.015444015444015444,0.0,0.6000000000000001,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,0.0,0.6541030890313615,0.4939974073365689,0.5809433962264151,0.24497549019607845,0.40288085401966883,0.13415627545585562,0.020202020202020204,0.6499999999999986,0.0,1.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0,0.0,5.832690799339576e-06,0.0010827978282561305,0.03312156029362849,0,4
12058,0.4000000000000341,0.0,1.0,0.03474903474903475,0.0,0.6000000000000001,0.32352941176470584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.004741822462002519,0.0018376115786232746,0.0,0.6538915739649864,0.4937495951867424,0.3920754716981132,0.23970588235294119,0.3967815839822567,0.13146187104455168,0.020202020202020204,0.6499999999999986,0.0,1.0,0.0,0.55,1.4412796238546671e-05,0.0,3.830867212565244e-05,0.0,8.215494309576762e-05,0.0,0.0036486280171566573,0.0,0.003080082135523614,0.0008636219679601085,0.001093769982393816,0.03312156029362849,1,4
4313,0.4000000000000341,0.0,1.0,0.03861003861003861,0.0,0.6000000000000001,0.32352941176470584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009806002672934667,0.0,0.0008043294090493882,9.89901386388269e-06,0.06732722732261455,0.020870806673505875,0.0,0.6545529427532452,0.4941396001464634,0.4524528301886792,0.2450980392156863,0.4011382054375511,0.13403095432044615,0.020202020202020204,0.29999999999999716,0.0,1.0,0.0,0.35000000000000003,0.0007231584871060905,0.0,0.0011592405809812566,0.0,0.0,0.00019204158564046445,0.0037519729193989265,0.0,0.0,0.0021734959460240747,0.0013230918454017727,0.03801749815134942,0,4
